species,paper_title,title_abstract,hosts_natural,hosts_experimental,hosts_not_in_text,hosts_not_in_text_corrected
Loma mugili,"Loma mugili sp. n., a new microsporidium from the gills of grey mullet (Mugil soiuy)","Loma mugili sp. n., a new microsporidium from the gills of grey mullet (Mugil soiuy) ::: The new species of the microsporidia from the gills of Mugil sojuy (Osteichthyes, Mugilidae) based of light and ultrastructural data is described in the liman Molochny of the Azov Sea. Elongate ovoid spores measuring (3.48+-0.41)X(2.18+-0.28) mkm. Thin endospore, bipartite lamellate-vesiculate polaroplast and large posterior vacuole with spongious posterosome are characteristic features of the species. Polar filament isofilar, 14-15 coiled.",Planiliza haematocheila,NA,Planiliza haematocheila,Mugil sojuy 
Loma pacificodae,"Description of Five New Loma (Microsporidia) Species in Pacific Fishes with Redesignation of the Type Species Loma morhua Morrison & Sprague, 1981, Based on Morphological and Molecular Species-Boundaries Tests","Description of Five New Loma (Microsporidia) Species in Pacific Fishes with Redesignation of the Type Species Loma morhua Morrison & Sprague, 1981, Based on Morphological and Molecular Species-Boundaries Tests ::: ABSTRACT. Five new species of Loma were described from five Pacific fishes using light-microscopic and ultrastructural features along with phylogenetic analysis of the gene sequences of ribosomal RNA (rRNA) and elongation factor 1-alpha. Morphological data revealed both qualitative and quantitative differences in developmental stages and timing, vesicles, xenoma features, and spore sizes with statistical support that differentiated Loma pacificodae n. sp. in Pacific cod, Loma wallae n. sp. in walleye pollock, Loma kenti n. sp. in Pacific tomcod, Loma lingcodae n. sp. in lingcod, and Loma richardi n. sp. in sablefish from each other and other species in the genus. Phylogenetic analyses combined with monophyly tests supported species designations, but with low resolution in two cases perhaps due to rRNA paralogs or recent speciation. Loma branchialis in haddock was shown to be separate from Loma morhua in Atlantic cod, thereby making L. morhua, and not L. branchialis, the type species. A species from brook trout was shown to be a separate species from Loma salmonae, not a variant strain selected in the laboratory. By comparison with gadid host phylogeny, these Loma species appear to have coevolved with their hosts, first colonizing the Pacific basin about 12 million years ago.",Gadus macrocephalus,NA,Gadus macrocephalus,NA
Loma richardi,"Description of Five New Loma (Microsporidia) Species in Pacific Fishes with Redesignation of the Type Species Loma morhua Morrison & Sprague, 1981, Based on Morphological and Molecular Species-Boundaries Tests","Description of Five New Loma (Microsporidia) Species in Pacific Fishes with Redesignation of the Type Species Loma morhua Morrison & Sprague, 1981, Based on Morphological and Molecular Species-Boundaries Tests ::: ABSTRACT. Five new species of Loma were described from five Pacific fishes using light-microscopic and ultrastructural features along with phylogenetic analysis of the gene sequences of ribosomal RNA (rRNA) and elongation factor 1-alpha. Morphological data revealed both qualitative and quantitative differences in developmental stages and timing, vesicles, xenoma features, and spore sizes with statistical support that differentiated Loma pacificodae n. sp. in Pacific cod, Loma wallae n. sp. in walleye pollock, Loma kenti n. sp. in Pacific tomcod, Loma lingcodae n. sp. in lingcod, and Loma richardi n. sp. in sablefish from each other and other species in the genus. Phylogenetic analyses combined with monophyly tests supported species designations, but with low resolution in two cases perhaps due to rRNA paralogs or recent speciation. Loma branchialis in haddock was shown to be separate from Loma morhua in Atlantic cod, thereby making L. morhua, and not L. branchialis, the type species. A species from brook trout was shown to be a separate species from Loma salmonae, not a variant strain selected in the laboratory. By comparison with gadid host phylogeny, these Loma species appear to have coevolved with their hosts, first colonizing the Pacific basin about 12 million years ago.",Anoplopoma fimbria,NA,Anoplopoma fimbria,NA
Loma salmonae (1),A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata),"A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata) ::: Loma embiotocia n. sp. is described from the gills of shiner perch (Cymatogaster aggregata) from waters off Vancouver Island, British Columbia, Canada. Highest prevalence at a site was 15% and greatest intensity was 583 xenomas per fish. Xenomas averaged 0.13 mm in diameter (0.06-0.16 mm) and contained ovoid spores 4.8 x 2.6 (4.0-5.0 x 2.0-3.0) µm. Sporogonic stages were dispersed throughout the xenomas. The xenoma wall was smooth lacking invaginations into the cytoplasm; sporoblasts were not highly vacuolated, and the sporophorous vesicle formed before sporogony. In addition to differences in host and geographic location the new species is distinguished from Loma salmonae, the only other species in the genus known from British Columbia, by its internal transcribed spacer (ITS) ribosomal DNA sequence.",Oncorhynchus mykiss; Oncorhynchus kisutch; Oncorhynchus tshawytscha; Salvelinus fontinalis; Salmo trutta,NA,Oncorhynchus mykiss; Oncorhynchus kisutch; Oncorhynchus tshawytscha; Salvelinus fontinalis; Salmo trutta,NA
Loma sp.,Loma sp. in salmonids from the eastern united states: Associated lesions in rainbow trout,"Loma sp. in salmonids from the eastern united states: Associated lesions in rainbow trout ::: A microsporidian of the genus Loma was noted in the gills of rainbow trout Onco-rhynchus mykiss from a state hatchery (Buford Trout Hatchery) in Georgia. Mortalities of varying severity occur at this hatchery every fall, and the microsporidian was noted during an experiment from August 1991 to January 1992 to determine the effects of water source on disease. Infections first appeared to be systemic in the October sample; xenomas were observed in heart, spleen, and peripheral vessel walls. The presence of unidentified intracellular material preceded the appearance of xenomas in all tissues, but whether this material was associated with inflammation or represented immature stages of the parasite has yet to be determined. These structures were also noted in the intestine and liver, although xenomas were not noted in these organs. Mature xenomas did not elicit an inflammatory response but appeared to be short-lived. When the xenoma wall ruptured and released spores, an inflammatory response was again observed. The prevalence and severity of the infection were determined in fish maintained in troughs with well water, Chattahoochee River water, or hatchery (treated river) water. The infection tended to be more prevalent and more severe in fish maintained in the hatchery or river water than in those maintained in the well water. Stress induced by poor water quality may increase mortality from this parasite. This report extends the range of Loma sp. into the eastern United States.",Oncorhynchus mykiss,NA,Oncorhynchus mykiss,Onco-rhynchus mykiss
Loma wallae,"Description of Five New Loma (Microsporidia) Species in Pacific Fishes with Redesignation of the Type Species Loma morhua Morrison & Sprague, 1981, Based on Morphological and Molecular Species-Boundaries Tests","Description of Five New Loma (Microsporidia) Species in Pacific Fishes with Redesignation of the Type Species Loma morhua Morrison & Sprague, 1981, Based on Morphological and Molecular Species-Boundaries Tests ::: ABSTRACT. Five new species of Loma were described from five Pacific fishes using light-microscopic and ultrastructural features along with phylogenetic analysis of the gene sequences of ribosomal RNA (rRNA) and elongation factor 1-alpha. Morphological data revealed both qualitative and quantitative differences in developmental stages and timing, vesicles, xenoma features, and spore sizes with statistical support that differentiated Loma pacificodae n. sp. in Pacific cod, Loma wallae n. sp. in walleye pollock, Loma kenti n. sp. in Pacific tomcod, Loma lingcodae n. sp. in lingcod, and Loma richardi n. sp. in sablefish from each other and other species in the genus. Phylogenetic analyses combined with monophyly tests supported species designations, but with low resolution in two cases perhaps due to rRNA paralogs or recent speciation. Loma branchialis in haddock was shown to be separate from Loma morhua in Atlantic cod, thereby making L. morhua, and not L. branchialis, the type species. A species from brook trout was shown to be a separate species from Loma salmonae, not a variant strain selected in the laboratory. By comparison with gadid host phylogeny, these Loma species appear to have coevolved with their hosts, first colonizing the Pacific basin about 12 million years ago.",Theragra chalcogramma,NA,Theragra chalcogramma,NA
Lotmaria passim,"Characterization of Two Species of Trypanosomatidae from the Honey Bee Apis mellifera: Crithidia mellificae Langridge and McGhee, and Lotmaria passim n. gen., n. sp.","Characterization of Two Species of Trypanosomatidae from the Honey Bee Apis mellifera: Crithidia mellificae Langridge and McGhee, and Lotmaria passim n. gen., n. sp. ::: Trypanosomatids are increasingly recognized as prevalent in European honey bees (Apis mellifera) and by default are attributed to one recognized species, Crithidia mellificae Langridge and McGhee, 1967. We provide reference genetic and ultrastructural data for type isolates of C. mellificae (ATCC 30254 and 30862) in comparison with two recent isolates from A. mellifera (BRL and SF). Phylogenetics unambiguously identify strains BRL/SF as a novel taxonomic unit distinct from C. mellificae strains 30254/30862 and assign all four strains as lineages of a novel clade within the subfamily Leishmaniinae. In vivo analyses show strains BRL/SF preferably colonize the hindgut, lining the lumen as adherent spheroids in a manner identical to previous descriptions from C. mellificae. Microscopy images show motile forms of C. mellificae are distinct from strains BRL/SF. We propose the binomial Lotmaria passim n. gen., n. sp. for this previously undescribed taxon. Analyses of new and previously accessioned genetic data show C. mellificae is still extant in bee populations, however, L. passim n. gen., n. sp. is currently the predominant trypanosomatid in A. mellifera globally. Our findings require that previous reports of C. mellificae be reconsidered and that subsequent trypanosomatid species designations from Hymenoptera provide genetic support.",Apis mellifera; Apis cerana,NA,Apis cerana,NA
Metchnikovella spiralis,"Description of Metchnikovella spiralis sp. n. (Microsporidia: Metchnikovellidae), with notes on the ultrastructure of metchnikovellids","Description of Metchnikovella spiralis sp. n. (Microsporidia: Metchnikovellidae), with notes on the ultrastructure of metchnikovellids ::: SUMMARY The present paper reports results of a transmission electron microscopy study of a new metchikovellid microsporidium. It was isolated from gregarines Polyrhabdina sp. inhabiting guts of polychaetes Pygospio elegans sampled at the White Sea silt littoral zone. Free sporogony (FS) occurred in the life cycle of the microsporidium alongside sac-bound sporogony (BS). Free spores resided in a parasitophorous vacuole and were of typical metchnikovellidean structure, uninucleate and oblong. They measured on sections 2·0–3·2×1·3–1·9 μm. The life cycle included pre-sporogonial stages represented by dikaryotic cells and 4-nucleate cells with coupled nuclei. A multinucleate sporogonial plasmodium of FS split in numerous (>10) sporoblasts. In BS segregation of sporoblasts occurred within thick-walled cysts by internal budding. Spore sacs of this microsporidium, measuring on average 11·6×4·7 μm, were limited by a thick electron-dense wall, externally ornamented with spirally wound cords of dense material. These oval spore sacs contained eight barrel-shaped spores, comparable in size and ultrastructure to FS spores. Ultrastructure of both types of spores and intracellular development of the new microsporidium and Metchnikovella spp. were similar, suggesting they belong to the same genus. In this paper we describe a new species Metchnikovella spiralis and discuss morphology of metchnikovellids in the context of putative evolutionary history of Microsporidia.",Polyrhabdina elegans,NA,Polyrhabdina elegans,Polyrhabdina sp.
Microsporidium acanthocephali,Premieres observations sur deux Microsporidies hyperparasites d’Acanthoc phales de Poissons marins et lagunaires,"Premieres observations sur deux Microsporidies hyperparasites d’Acanthoc phales de Poissons marins et lagunaires ::: Microsporidium acanthocephali n. sp. and Microsporidium propinqui n. sp. are two microsporidian species hyperparasitic in the tegumentary syncytium of salt-water fishes. Their ultrastructural study shows that both species have diplocaryotic meronts and spores, anisofilar polar filaments; meronts and some sporogonic stages of M. acanthocephali are surrounded by a parasitic vacuole. Spores of both parasites are oviform; those of M. acanthocephali are gigantic, 12-14 ~tm long and 6-7 gm broad, those of M. propinqui are only 3-4 gm x 1.25-].50 gm. A poor knowledge of some sporogonic aspects prevents us from all precise generic assigning of these two parasites which may coexist in the same Helminth.",Acanthocephaloides propinquus; Yamagutisentis sp.; Acanthocephaloides geneticus,NA,Acanthocephaloides propinquus; Yamagutisentis sp.; Acanthocephaloides geneticus,NA
Microsporidium anoeti,"Microsporidium Anoeti Sp. n. (Microspora), a New Microsporidian Parasite of Anoetus Feroniarum (Acariformes, Anoetidae)","Microsporidium Anoeti Sp. n. (Microspora), a New Microsporidian Parasite of Anoetus Feroniarum (Acariformes, Anoetidae) ::: Microsporidia were found for the first time in cytoplasm of parenchimatous cells of Anoetidae mites and described as a new species of Microsporidium. The final stages of merogony and disporoblastic sporogony with forming of uninucleate sporonts and spores were observed. The rod-shaped stained spores measured 0.7-0.9x2.2-2.4 μm. Uninucleate spores had 9-10 coils of isofilar polar filament and lamellar polaroplast, their thin envelope consisted of plasmalemma, 30-40 nm wide endospore and 18-25 nm wide exposure.",Anoetus feroniarum,NA,Anoetus feroniarum,Anoetus Feroniarum
Microsporidium ceylonensis,"Some ultrastructural data on Microsporidium ceylonensis, a cause of corneal microsporidiosis","Some ultrastructural data on Microsporidium ceylonensis, a cause of corneal microsporidiosis ::: Sections of corneal tissue infected with Microsporidium ceylonensis were restained or processed for electron microscopy. Confirmation was obtained that the parasite develops in macrophages and that spores are uninucleate. New information is provided that sporoblasts and spores develop synchronously within a membrane in the host cell, spores have an anisofilar polar tube of 6-10 wide coils and 2-3 narrow coils and details are given of the spore wall and internal organisation. The parasite was compared on the one hand with Encephalitozoon, which exhibits asynchronous intravacuolar development of merogonic and sporogonic stages and has spores with isofilar polar tubes and on the other hand with species reported from mammals, of which the sporogonic stages develop synchronously within sporophorous vesicles and the spores have anisofilar polar tubes. Even so, a generic emplacement could not be established. Attention is drawn to the similarities between M. ceylonensis and Nosema sp. described from the cornea of a woman in Botswana.",Homo sapiens,NA,Homo sapiens,NA
Microsporidium chloroscombri,"Preliminary Observations on a Microsporidian Parasite of Chloroscombrus Chrysurus Linnaeus, 1776 (Teleost Fish)","Preliminary Observations on a Microsporidian Parasite of Chloroscombrus Chrysurus Linnaeus, 1776 (Teleost Fish)",Chloroscombrus chrysurus,NA,Chloroscombrus chrysurus,Chloroscombrus Chrysurus
Microsporidium dicologolossae,First report of microsporidian infections in solefishes from Senegal coast (West Africa),"First report of microsporidian infections in solefishes from Senegal coast (West Africa) ::: Three microsporidian species were isolated from solefishes from Senegal. These microsporidia were: Microsporidium dicologoglossae sp.n in Dicologoglossa cuneata, Microsporidium synapturae sp.n in Synaptura cadenati and Synaptura lusitanica, and Microsporidium vanstraeleniae sp. in Vanstraelenia chirophthalmus. All these species infected the liver of their hosts and induced formation of xenomas.",Dicologolossa cuneata,NA,Dicologolossa cuneata,NA
Microsporidium enchytreidorum,Microsporidium enchytreidorum n. sp. and Microsporidium oligochaetae n. sp. (Microsporida: Phylum Microspora) zwei neue Mikrosporidien-Arten in den Vesiculae seminales bei Enchytreiden (Oligoechaeta: Annelida),"Microsporidium enchytreidorum n. sp. and Microsporidium oligochaetae n. sp. (Microsporida: Phylum Microspora) zwei neue Mikrosporidien-Arten in den Vesiculae seminales bei Enchytreiden (Oligoechaeta: Annelida) ::: The enchytreids, their population density, and importance in the formation of soil have been studied by different authors. But, except for some gregarines, there are no data concerning their pathology and diseases. Our investigations (1978-1981) of pathogenic microorganisms of the forest soil fauna in Lower Saxony, Hessia, and Westphalia (Federal Republic of Germany) included the enchytreids, where we detected two new microscoridians infecting the vesiculae seminales of their hosts. The names Microsporidium enchytreidorum n. sp. parasitizing the Enchytreidae sp., and Microsporidium oligochaetae n. sp. parasitizing the Fridericia tatzeli EISEN 1872 (Enchytreidae) are proposed. The life cycle of microsporidian parasites is described by means of light microscopy. Some data on the pathogenecity and prevalence of infection are also discussed. This is the first report concerning the microsporidians as parasites in Oligochaeta.",Fridericia ratzeli,NA,Fridericia ratzeli,NA
Microsporidium lotaensis,Light and electron microscope studies on three new species of microsporidia from saltmarsh mosquitoes in Australia,"Light and electron microscope studies on three new species of microsporidia from saltmarsh mosquitoes in Australia ::: Descriptions are given of three microsporidians found parasitising larvae of culicine mosquitoes in south-east Queensland, Australia. Two, Duboscqia aediphaga n.sp. and Microsporidium lotaensis n.sp. were recovered from larvae of Aedes (Ochlerotatus) vigilax (Skuse), and a third, Amblyospora pinensis n.sp., from Culex sitiens Wiedemann. The three species were studied by light microscopy and scanning and transmission electron microscopy. We believe this to be the first detailed account of the ultrastructure of a species of Duboscqia Perez.",Aedes vigilax,NA,Aedes vigilax,NA
Microsporidium oligochaetae,Microsporidium enchytreidorum n. sp. and Microsporidium oligochaetae n. sp. (Microsporida: Phylum Microspora) zwei neue Mikrosporidien-Arten in den Vesiculae seminales bei Enchytreiden (Oligoechaeta: Annelida),"Microsporidium enchytreidorum n. sp. and Microsporidium oligochaetae n. sp. (Microsporida: Phylum Microspora) zwei neue Mikrosporidien-Arten in den Vesiculae seminales bei Enchytreiden (Oligoechaeta: Annelida) ::: The enchytreids, their population density, and importance in the formation of soil have been studied by different authors. But, except for some gregarines, there are no data concerning their pathology and diseases. Our investigations (1978-1981) of pathogenic microorganisms of the forest soil fauna in Lower Saxony, Hessia, and Westphalia (Federal Republic of Germany) included the enchytreids, where we detected two new microscoridians infecting the vesiculae seminales of their hosts. The names Microsporidium enchytreidorum n. sp. parasitizing the Enchytreidae sp., and Microsporidium oligochaetae n. sp. parasitizing the Fridericia tatzeli EISEN 1872 (Enchytreidae) are proposed. The life cycle of microsporidian parasites is described by means of light microscopy. Some data on the pathogenecity and prevalence of infection are also discussed. This is the first report concerning the microsporidians as parasites in Oligochaeta.",Fridericia ratzeli,NA,Fridericia ratzeli,NA
Microsporidium propinqui,Premieres observations sur deux Microsporidies hyperparasites d’Acanthoc phales de Poissons marins et lagunaires,"Premieres observations sur deux Microsporidies hyperparasites d’Acanthoc phales de Poissons marins et lagunaires ::: Microsporidium acanthocephali n. sp. and Microsporidium propinqui n. sp. are two microsporidian species hyperparasitic in the tegumentary syncytium of salt-water fishes. Their ultrastructural study shows that both species have diplocaryotic meronts and spores, anisofilar polar filaments; meronts and some sporogonic stages of M. acanthocephali are surrounded by a parasitic vacuole. Spores of both parasites are oviform; those of M. acanthocephali are gigantic, 12-14 ~tm long and 6-7 gm broad, those of M. propinqui are only 3-4 gm x 1.25-].50 gm. A poor knowledge of some sporogonic aspects prevents us from all precise generic assigning of these two parasites which may coexist in the same Helminth.",Acanthocephaloides propinquus,NA,Acanthocephaloides propinquus,NA
Microsporidium rhabdophilia,Microsporidium rhabdophilia n. sp. from rodlet cells of salmonid fishes,"Microsporidium rhabdophilia n. sp. from rodlet cells of salmonid fishes ::: A microsporidian parasite, Microsporidium rhabdophilia n. sp. is described from rodlet cells of salmonid fishes. Chinook salmon, Oncorhynchus tshawytscha, coho salmon, Oncorhynchus kisutch, steelhead rainbow trout, Salmo gairdnerii gairdnerii, and various strains of domesticated rainbow trout were found infected. In living wet mount phase‐contrast observations of various tissues, 16 mature spores could be seen infecting the nucleus of rodlet cells. The number of spores infecting each nucleus generally numbered 16 and spores were not found in any cell or organelle other than the nucleus of the rodlet cell. All observations were limited to California hatchery‐reared fish.",Oncorhynchus tshawtscha; Oncorhynchus kisutch; Salmo gairdnerii gairdnerii,NA,Oncorhynchus tshawtscha,Oncorhynchus tshawytscha
Microsporidium stagnalis,Microsporidia of Branchiopods from the Northern regions of Ukraine,"Microsporidia of Branchiopods from the Northern regions of Ukraine ::: Four species of Microsporidia parasitizing Branchiopod hosts are described based on the light and ultrastructural data. Microsporidium sp. from the body cavity of Lepidurus apus, produced ovoid spores 3.5±0.4×2.2±0.3 μm in size. Mononuclear (asymmetrical spores of Larssonia hiberna sp. n., measured 3.8±0.1×2.0±0.2 μm, were found in fat tissues and hemocoel of Daphnia magna. Filamentous episporal surfacing inverted polaroplast and 8-9 coiled isofilar polar filament are characteristic features of this species. Berwaldia singularis Larsson and Microsporidium stagnalis sp. n. from D. pulex are presented. Ellipsoidal spores of M. stagnalis, 4.8±0.4×2.4±0.3 μm in sizes, formed a two-layered exospore, tripartite lamellar and tubular polaroplast, and the isofilar polar filament coiled in a two-layer spiral of 14 rings.",Daphnia pulex,NA,Daphnia pulex,NA
Napamichum aequifilum,"Description of a new microsporidium of the water mite Limnochares aquatica and establishment of the new genus Napamichum (Microspora, Thelohaniidae)","Description of a new microsporidium of the water mite Limnochares aquatica and establishment of the new genus Napamichum (Microspora, Thelohaniidae) ::: The new microsporidium Napamichum aequifilum, a parasite of the aquatic mite Limnochares aquatica in Sweden, is described based on an ultrastructural investigation. The fusiform sporophorous vesicles, the pyriform spores, the unique plurilayered exospore, and the characteristic crystalline inclusions of the episporontal space are characteristics shared by Chapmanium dispersus (R. Larsson, 1984, Protistologica, 20, 547-563). The polar filament and the polaroplast differ in some ways. Some traits of ultrastructural cytology are discussed, with comments on two possible cases of reductions of an anisofilar polar filament. The taxonomic position of the species is discussed, and the new genus Napamichum is established for this species and for C. Dispersus.",Limmochares aquatica,NA,Limmochares aquatica,Limnochares aquatica
Napamichum cellatum,"Napamichum cellatum N. Sp. (Microspora, Thelohaniidae), a New Parasite of Midge Larvae of the Genus Endochironomus (Diptera, Chironomidae) in Sweden","Napamichum cellatum N. Sp. (Microspora, Thelohaniidae), a New Parasite of Midge Larvae of the Genus Endochironomus (Diptera, Chironomidae) in Sweden ::: The new microsporidium, Napamichum cellatum, a parasite of the adipose tissue of midge larva of the genus Endochironomus in Sweden, is described based on light microscopic and ultrastructural characteristics. Plurinucleate Plasmodia with nuclei arranged as diplokarya divide, probably by plasmotomy, producing a small number of diplokaryotic merozoites. The number of merogonial cycles is unknown. Each diplokaryotic sporont yields eight monokaryotic sporoblasts in a thin‐walled, more or less fusiform sporophorous vesicle. A small number of multisporoblastic sporophorous vesicles were observed, in which a part of the sporoblasts were anomalous. The sporogony probably begins with a meiotic division. The mature spores are slightly pyriform. Fixed and stained spores measure 2.1‐2.4 × 3.7‐4.5 μm. The five‐layered spore wall is of the Napamichum type. The polar filament is anisofilar with seven to eight coils (142‐156 and 120 nm wide). The angle of tilt is 55‐65°. The polaroplast has an anterior lamellar and a posterior tubular part. The granular, tubular and crystal‐like inclusions of the episporontal space disappear more or less completely when the spores mature. The crystal‐like inclusions are prominent in haematoxylin staining, but not visible with the Giemsa technique. The microsporidium is compared to other octosporoblastic microsporidia of midge larva and to the species of the genera Chapmanium and Napamichum.",Endochironomus sp.,NA,Endochironomus sp.,Endochironomus
Nematocida ausubeli,A Large Collection of Novel Nematode-Infecting Microsporidia and Their Diverse Interactions with Caenorhabditis elegans and Other Related Nematodes,"A Large Collection of Novel Nematode-Infecting Microsporidia and Their Diverse Interactions with Caenorhabditis elegans and Other Related Nematodes ::: Microsporidia are fungi-related intracellular pathogens that may infect virtually all animals, but are poorly understood. The nematode Caenorhabditis elegans has recently become a model host for studying microsporidia through the identification of its natural microsporidian pathogen Nematocida parisii. However, it was unclear how widespread and diverse microsporidia infections are in C. elegans or other related nematodes in the wild. Here we describe the isolation and culture of 47 nematodes with microsporidian infections. N. parisii is found to be the most common microsporidia infecting C. elegans in the wild. In addition, we further describe and name six new species in the Nematocida genus. Our sampling and phylogenetic analysis further identify two subclades that are genetically distinct from Nematocida, and we name them Enteropsectra and Pancytospora. Interestingly, unlike Nematocida, these two genera belong to the main clade of microsporidia that includes human pathogens. All of these microsporidia are horizontally transmitted and most specifically infect intestinal cells, except Pancytospora epiphaga that replicates mostly in the epidermis of its Caenorhabditis host. At the subcellular level in the infected host cell, spores of the novel genus Enteropsectra show a characteristic apical distribution and exit via budding off of the plasma membrane, instead of exiting via exocytosis as spores of Nematocida. Host specificity is broad for some microsporidia, narrow for others: indeed, some microsporidia can infect Oscheius tipulae but not its sister species Oscheius sp. 3, and conversely some microsporidia found infecting Oscheius sp. 3 do not infect O. tipulae. We also show that N. ausubeli fails to strongly induce in C. elegans the transcription of genes that are induced by other Nematocida species, suggesting it has evolved mechanisms to prevent induction of this host response. Altogether, these newly isolated species illustrate the diversity and ubiquity of microsporidian infections in nematodes, and provide a rich resource to investigate host-parasite coevolution in tractable nematode hosts.",Caenorhabditis briggsae; Caenorhabditis elegans; Caenorhabditis remanei,NA,Caenorhabditis briggsae; Caenorhabditis remanei,NA
Nematocida ciargi,A Large Collection of Novel Nematode-Infecting Microsporidia and Their Diverse Interactions with Caenorhabditis elegans and Other Related Nematodes,"A Large Collection of Novel Nematode-Infecting Microsporidia and Their Diverse Interactions with Caenorhabditis elegans and Other Related Nematodes ::: Microsporidia are fungi-related intracellular pathogens that may infect virtually all animals, but are poorly understood. The nematode Caenorhabditis elegans has recently become a model host for studying microsporidia through the identification of its natural microsporidian pathogen Nematocida parisii. However, it was unclear how widespread and diverse microsporidia infections are in C. elegans or other related nematodes in the wild. Here we describe the isolation and culture of 47 nematodes with microsporidian infections. N. parisii is found to be the most common microsporidia infecting C. elegans in the wild. In addition, we further describe and name six new species in the Nematocida genus. Our sampling and phylogenetic analysis further identify two subclades that are genetically distinct from Nematocida, and we name them Enteropsectra and Pancytospora. Interestingly, unlike Nematocida, these two genera belong to the main clade of microsporidia that includes human pathogens. All of these microsporidia are horizontally transmitted and most specifically infect intestinal cells, except Pancytospora epiphaga that replicates mostly in the epidermis of its Caenorhabditis host. At the subcellular level in the infected host cell, spores of the novel genus Enteropsectra show a characteristic apical distribution and exit via budding off of the plasma membrane, instead of exiting via exocytosis as spores of Nematocida. Host specificity is broad for some microsporidia, narrow for others: indeed, some microsporidia can infect Oscheius tipulae but not its sister species Oscheius sp. 3, and conversely some microsporidia found infecting Oscheius sp. 3 do not infect O. tipulae. We also show that N. ausubeli fails to strongly induce in C. elegans the transcription of genes that are induced by other Nematocida species, suggesting it has evolved mechanisms to prevent induction of this host response. Altogether, these newly isolated species illustrate the diversity and ubiquity of microsporidian infections in nematodes, and provide a rich resource to investigate host-parasite coevolution in tractable nematode hosts.",Procephalobus sp. strain JU2895,NA,Procephalobus sp. strain JU2895,NA
Nematocida homosporus,A Large Collection of Novel Nematode-Infecting Microsporidia and Their Diverse Interactions with Caenorhabditis elegans and Other Related Nematodes,"A Large Collection of Novel Nematode-Infecting Microsporidia and Their Diverse Interactions with Caenorhabditis elegans and Other Related Nematodes ::: Microsporidia are fungi-related intracellular pathogens that may infect virtually all animals, but are poorly understood. The nematode Caenorhabditis elegans has recently become a model host for studying microsporidia through the identification of its natural microsporidian pathogen Nematocida parisii. However, it was unclear how widespread and diverse microsporidia infections are in C. elegans or other related nematodes in the wild. Here we describe the isolation and culture of 47 nematodes with microsporidian infections. N. parisii is found to be the most common microsporidia infecting C. elegans in the wild. In addition, we further describe and name six new species in the Nematocida genus. Our sampling and phylogenetic analysis further identify two subclades that are genetically distinct from Nematocida, and we name them Enteropsectra and Pancytospora. Interestingly, unlike Nematocida, these two genera belong to the main clade of microsporidia that includes human pathogens. All of these microsporidia are horizontally transmitted and most specifically infect intestinal cells, except Pancytospora epiphaga that replicates mostly in the epidermis of its Caenorhabditis host. At the subcellular level in the infected host cell, spores of the novel genus Enteropsectra show a characteristic apical distribution and exit via budding off of the plasma membrane, instead of exiting via exocytosis as spores of Nematocida. Host specificity is broad for some microsporidia, narrow for others: indeed, some microsporidia can infect Oscheius tipulae but not its sister species Oscheius sp. 3, and conversely some microsporidia found infecting Oscheius sp. 3 do not infect O. tipulae. We also show that N. ausubeli fails to strongly induce in C. elegans the transcription of genes that are induced by other Nematocida species, suggesting it has evolved mechanisms to prevent induction of this host response. Altogether, these newly isolated species illustrate the diversity and ubiquity of microsporidian infections in nematodes, and provide a rich resource to investigate host-parasite coevolution in tractable nematode hosts.",Oscheius tipulae; Rhabditella typhae,NA,Rhabditella typhae,NA
