"Timestamp","Species Name","Date Identified (year)","Natural Host(s)","Experimental Host(s)","Host Environment","Host Life Stage during Infection","Site of Infection","Transmission","Spore Length Average (µm)","Spore Width Average (µm)","Calculated Volume (µm³) (see methods)","Spore Shape (Class; Condition)","Locality","Nucleus","Measured Polar Tubule Length Max (μm)","Measured Polar Tubule Length Min (μm)","Measured Polar Tubule (μm)","Calculated Polar Tubule (μm) (see methods)","Polar Tubule Coils Range","Polar Tubule Coils Average","18S Accession #","Has the genome been sequenced?","Important Remarks","References"
,"Gurleya macrocyclopis","1977; 1986; 1996","Macrocyclops albidus",,,,"fat body; ovary","both","3.5 (avg of old entries)","2.25 (avg of old entries)","9.27751580513236 (avg of old entries)","oval; egg-shaped","Russia (Lake Vrevo)",1,,,45,"63.6172512351933 (avg of old entries)",,9,,,,"1. Voronin VN. Ultrastructure and Horizontal Transmission of Gurleya macrocyclopis (Protozoa, Microspora) to Macrocylops albidus (Crustacea, Copepoda). Journal of Invertebrate Pathology. 1996;67:105–7.
 2. Sokolova YY, Voronin VN. Annotated list of species of the Microsporidia described in the Former Soviet Union and Russia in 20th century (1967–2000). Protistology. 2018;12:12–37."
,"Gurleya miyairii","1924; 1970","Atyephira spp.",,,,"muscles","horizontal",,,,,"Japan (Fukuoka)",,,,,,,,,,,"1. Thelohania sp. Miyairi, 1909, ""A Guide to the Study of Parasitic Protozoa,"" pp. 139 [fide Kudo, 1924, Ill. Biol. Monogr., 9(2/3), 182]
 2. Cocconema miyairii Kudo, 1924, loc. cit.
 3. Gurleya miyairii (Kudo, 1924) Sprague, 1970, in ""Symposium on Diseases of Fishes and Shellfishes"" (S. F. Snieszko, ed.), p. 425"
,"Gurleya nova",1950,"Spirobutschliella chattoni; Potamoceros triqueter",,,,"gut (of Potamoceros triqueter)","horizontal",5.3,4.6,58.72055549,"egg-shaped","France (Mediterranean coast)",,,,,,,,,,,"Gurleya nova Hovasse, 1950, Bull. Inst. Oceanog. (Monaco), 962, 8, Fig. 5"
,"Gurleya orchestiae",2005,"Orchestia bottae",,,,"muscle","horizontal",4.3,2.7,16.41325082,"oval","Ukraine",1,,,,72.0995514,2022-08-09,8.5,,,,"Ovcharenko, Mykola, Irena Wita, and Urszula Czapliñska. “Ultrastructural Data on Gurleya Orchestiae Ovcharenko et Kurandina, 1987 (Microsporidia, Gurleyidae).” Acta Parasitologica 50, no. 1 (2005): 90–93."
,"Gurleya polonica",1999,"Gammarus duebeni",,,,,,"4.75 ± 0.38 (fresh)","2.38 ± 0.3 (fresh)","14.0878962963703 (fresh)","ovoid","Poland",1,,,,"153.278305568646 (fresh)","20 - 21",20.5,,,,"Wita I, Ovcharenko M, Czaplinska U. Gurleya polonica sp. n. (Microspora, Gurleyidae) a new microsporidian parasite of Gammarus duebeni (Amphipoda, Gammaridae). Bulletin of the Polish Academy of Sciences Biological Sciences. 1999;47:53–8."
,"Gurleya pontica",1984,"Palaemon elegans",,,,,,3.6,2.4,10.85734421,"Egg-shaped","Belarus",,,,,,,,,,,"Ovcharenko. “GURLEYA PONTICA SP. N. (MICROSPORIDIA, THELOHAN11 DAE) — НОВЫЙ ВИД МИКРОСПОРИДИЙ ИЗ КРЕВЕТОК PALAEMON ELEGANS (CRUSTACEA, DECAPODA),” n.d."
,"Gurleya richardi",1911,"Diaptomus castor (female)",,,,"muscles","horizontal","5.75 (macrospores); 4.25 (microspores)","2.8 (macrospores)","23.6038328039713 (macrospores)",,"France (Wimeraux)",,,,"45 (microspores)",,,,,,,"Gurleya richardi Cepede, 1911, Ann. Biol. Lacust., 5, 27, Figs. 1-14 [fide Kudo, 1924, Ill. Biol. Monogr., 9(2/3), 130, Figs. 383-392, 753]"
,"Gurleya secalisae",1960,"Trachea secalis",,,,"lower portion of gut","horizontal","3.5 (normal spores); 6 (macrospores)","2 (normal spores); 3 (macrospores)","7.33038285837618 (normal spores); 28.2743338823081 (macrospores)","ovoid","South Africa (vicinity of Capetown)",,,,,,,,,,,"1. Gurleya sp. Gibbs, 1953, Parasitology, 43, 143, Figs. 1-15
 2. Gurleya secalisae Thomson, 1960, J. Insect Pathol., 2, 356. Weiser, 1961, Monogr. Angew. Entomol., 17, 92"
,"Gurleya sokolovi",1968,"Limnochares aquatica",,,,"hemocytes; adipose tissue; nerves","horizontal","6.9 (fresh); 5.55 (stained)","3.5 (fresh); 2.55 (stained)","44.2571865074462 (fresh)","pyriform; depression in broad end","U.S.S.R. (vicinity of Peterhoff)",,,,,,,,,,,"Gurleya sokolovi I. & L., 1968, J. Invertebr. Pathol., 10, 165, Figs. 1-38"
,"Gurleya sp.",,"Daphnia pulicarya",,,,,,3.9,2.85,16.58643111,"oval",,,,,,,,,,,,"1. Kilochitskii PY, Ovcharenko NA, Polkovenko OV, Shostak LV. Microsporidia of Branchiopods from the Northern regions of Ukraine. Hydrobiol J. 2002;38:65–76."
,"Gurleya sp. 1",1963,"Cyclops sp.",,,,,,,,,"elongate; rounded posteriorly; spore tapers gradually to a bluntly pointed anterior end","Czechoslovakia",,,,,,,,,,,"Gurleya sp. L. & V., 1963, Vestn. Cesk. Spol. Zool., 27, 5, Fig. 3"
,"Gurleya sp. 2",1968,"Chironomus californicus",,,"larva; pupa; adult",,,,,,,"U.S.A. (southern California)",,,,,,,,,,,"Gurleya sp. Hunter, 1968, J. Invertebr. Pathol., 10, 387"
,"Gurleya sp. 3",1972,"Macrocyclops albidus",,,,,,4.7,2.4,14.17486605,"elongate-pyriform","France (Issanka)",,,,,,,,,,,"Gurleya sp. M., F., M. & F., 1972, Bull. Soc. Zool. Fr., 97, 712, Pl. 2-fig. 5, Pl. 2-figs. 1, 2"
,"Gurleya spraguei",1976,"Macrotermes estherae",,,,"fat body","horizontal",4.25,2.25,11.26555491,"oval","India",2,80,75,77.5,,,,,,,"Kalavati, C. “Four New Species of Microsporidians from Termites.” Acta Protozoologica 15, no. 4 (1976): 411–422."
,"Gurleya tetraspora",1898,"Daphnia maxinna (type host); Moina rectirostris",,,,"hypodermis","horizontal",2.9,1.5,3.416482011,"one pole rounded; one pole slightly pointed","Germany (vicinity of Munich); Czechoslovakia (vicinity of Lnare)",,,,,,,,,,,"Gurleya tetraspora Doflein, 1898, Zool. Jahrb. Abt. Anat., 11, 291, Figs. 146-153. Auerbach, 1910, ""Die Cnidosporidien,""198, Fig. 82. Kudo, 1924, Ill. Biol. Monogr., 9(2/3), 128, Figs. 357-364. Jirovec, 1942, Zool. Anz., 140, 129, Fig. 1. Jirovec, 1942, Vestn. Kral. Ceske Spol. NAUK Trida Mat. Prirodoved. 1942, 2, Fig. 2. Weiser, 1947, Acta Soc. Sci. Nat. Moravicae, 18, 22. Poisson, 1953, in ""Traite de Zoologie"" (P. P. Grasse, ed.), 1(2), 1061"
,"Gurleya vavrai",1974,"Daphnia Iongispina",,,,,,5.75,2.9,25.31992779,"oval","England",,,,,,,,,,,"Green, J. “Parasites and Epibionts of Cladocera.” The Transactions of the Zoological Society of London 32, no. 6 (July 7, 2010): 417–515. https://doi.org/10.1111/j.1096-3642.1974.tb00031.x|Kilochitskii PY, Ovcharenko NA, Polkovenko OV, Shostak LV. Microsporidia of Branchiopods from the Northern regions of Ukraine. Hydrobiol J. 2002;38:65–76."
,"Gurleyides biformis",1986,"Ceriodaphnia reticulata; Ceriodaphnia affinis",,,,"fat body; ovary","both","4.2 (c1); 4.6 (c2)","2.4 (c1); 1.65 (c2)","12.666901579274 (c1); 6.55728926620529 (c2)","pyriform (c1, c2)","Russia (Lake Vrevo and Lake Dolgoye, Karelia)","1 (c1); 1 (c2)",,,,"60.318578948924 (c1); 41.4690230273853 (c2)",,"8 (c1); 8 (c2)",,,,"Sokolova YY, Voronin VN. Annotated list of species of the Microsporidia described in the Former Soviet Union and Russia in 20th century (1967–2000). Protistology. 2018;12:12–37."
,"Hamiltosporidium magnivora (= Flabelliforma magnivora)","1998; 2011","Daphnia magna",,"freshwater","all stages","fat body; hypodermic cells; ovary","both","4.5 (live)","2.685 (live)","16.9863362235569 (live)","lightly pyriform; blunt poles","Belgium; England; Russia",,,,,"130.745232260773 (live)","14 - 17",15.5,"AJ302319","Y",,"1. Larsson JIR, Ebert D, Mangin KL, Vavra J. Ultrastructural study and description of Flabelliforma magnivora sp. n. (Microspora: Duboscqiidae), a microsporidian parasite of Daphnia magna (Crustacea: Cladocera: Daphniidae). Acta Parasitol. 1998;37:41–52.
 2. Haag KL, Larsson JIR, Refardt D, Ebert D. Cytological and molecular description of Hamiltosporidium tvaerminnensis gen. et sp. nov., a microsporidian parasite of Daphnia magna, and establishment of Hamiltosporidium magnivora comb. nov. Parasitol. 2011;138:447–62."
,"Hamiltosporidium tvaerminnensis",2011,"Daphnia magna",,,,"adipose; ovaries; hypodermis","both","5.25 (c1, fresh); 9.4 (c2, fresh)","2.25 (c1); 1.85 (c2)","13.9162737076985 (c1, fresh); 16.8449580091607 (c2, fresh)","pyrifrom (c1); rod-shaped (c2)","Finland","1 (c1); 1 (c2)",,,,"88.3572933822129 (c1)",2022-12-13,"12.5 (c1)","GQ843833",,,"Haag KL, Larsson JIR, Refardt D, Ebert D. Cytological and molecular description of Hamiltosporidium tvaerminnensis gen. et sp. nov., a microsporidian parasite of Daphnia magna, and establishment of Hamiltosporidium magnivora comb. nov. Parasitology. Cambridge University Press; 2011;138:447–62."
,"Helmichia aggregata","1982; 1998","Endochironomus sp.",,,"larva","fat body","horizontal","4.2 (live)",1.15,"2.90832939906075 (live)","rod-shaped; lightly bent","Russia",1,,,,,"uncoiled",,,,,"Castello Branco Junior A. Effects of Polydispyrenia simulii (Microspora; Duboscqiidae) on development of the gonads of Simulium pertinax (Diptera; Simuliidae). Mem Inst Oswaldo Cruz. 1999;94:421–4."
,"Helmichia anomala",2001,"Microtendipes pedellus",,,,"adipose","horizontal","2.9 ± 0.4 um (fresh); 3.1 (fixed)","1.3 ± 0.2 um (fresh); 1 um (fixed)","2.56615759920726 (fresh)","rod (fresh);
 ovocylindrical (fixed)","Poland","1 (unclear if uninuc/binuc spores different sizes); 2 (rare, unclear if uninuc/binuc spores different sizes)",,,,,"uncoiled",,,,,"1. Ovcharenko M, Wita I. Helmichia anomala sp. nov. (Microspora, Striatosporidae) a new microsporidian parasite of Microtendipes pedellus (Diptera, Chironomidae) in Poland. Acta Parasitol. 2001;46:242–9."
,"Helmichia glandulicola",1991,"Chironomus anthracinus",,,"larva","salivary glands","horizontal","3.5 (fixed and stained, average)","2.4 (fixed and stained, average)","10.5557513160617 (fixed and stained, average)","tubular","Norway (Apeltunvatnet near Bergen)",1,2.8,3,2.9,,"uncoiled",,,,,"Wulker WF, Weiser J. Helmichia glandulicola sp.nov. (Microspora, Thelohaniidae): morphology, development and influence on salivary glands of Chironomus anthracinus (Diptera, Chironomidae). Parasitol Res. 1991;77:335–40."
,"Helmichia lacustris","1998; 2012","Chironomus plumosus",,,"larva","fat body","horizontal","3.4 (live)","1.15 (live)","2.35436189447775 (live)","rod-shaped","Russia",1,,,,"1.80641577581413 (live)",,0.5,"GU130406",,,"1. Voronin VN. Microsporidia of the genus Helmichia (Microsporidia: Sriatosporidae [Striatosporidae]) from midge larvae (Diptera: Chironomidae) from water basins of the North-Western Russia. Parazitologiya. 1998;32:327–31
 2. Tokarev YS, Voronin VN, Seliverstova EV, Grushetskaya TA, Issi IV. Ultrastructure and molecular phylogenetics of Helmichia lacustris, a microsporidium with an uncoiled isofilar polar filament. Parasitol Res. 2012;110:1201–8."
,"Helmichia tetrasticta",1993,"Ablabesmyia tetrasticta",,,"larva","fat body","horizontal","2.6 -+ 0.1 (oval spores); 3.35 (rod-shaped spores)","1.27 -+ 0.05 (oval spores); 1.15 (rod-shaped spores)","2.19573240942249 (oval spores); 2.31973892544131 (rod-shaped spores)","oval; rod-shaped","Ukraine (Kiev)",,,,,,,"0.5 (unclear spore class)",,,,"Sokolova YY, Voronin VN. Annotated list of species of the Microsporidia described in the Former Soviet Union and Russia in 20th century (1967–2000). Protistology. 2018;12:12–37."
,"Hessea squamosa",1973,"Sciara sp.",,,"larva","gut","horizontal",2,2,4.188790205,"spherical; oval","France (Sète)","1 (more common, unclear if uninuc/binuc spores different sizes); 2 (unclear if uninuc/binuc spores different sizes)",,,,18.84955592,,3,,,,"Hessea squamosa O. & S., 1973, J. Invertebr. Pathol., 21, 239, Figs. 1-23"
,"Heterosporis anguillarum (formerly Pleistophora anguillarum)","1951; 1998","Anguilla japonica",,,,"trunk muscles","horizontal","7.9 (macrospores); 3.6 (microspores, fresh)","4.5 (macrospores); 2.5 (microspores, fresh)","83.7627141263379 (macrospores); 11.7809724509617 (microspores, fresh)","ovoid; one side concave","Japan (near Odawara)",,,,"420 (unclear what spore class this belongs to)",,,,,,,"1. Plistophora anguillarum Hoshina, 1951, J. Tokyo Univ. Fish., 38, 35, text figs. 1-4, Pls. 1, 2
 2. Coste F, Bouix G. Heterosporis cichlidarum n.sp (Microspora), a parasite of the ornamental cichlid fish Hemichromis bimaculatus gill, 1862. Bull Eur Assoc Fish Pathol. 1998;18:157–61."
,"Heterosporis cichlidarum",1998,"Hemichromis bimaculatus",,"freshwater","fry; juvenile","striated muscles","horizontal","7.5 (fixed and stained)","4.25 (fixed and stained)","70.931271631832 (fixed and stained)","ovoid; slightly pyriform","West Africa; Central Africa; France (Paris)",1,,,,"460.636022832603 (fixed and stained)","30 - 39",34.5,,,,"Coste F, Bouix G. Heterosporis cichlidarum n.sp (Microspora), a parasite of the ornamental cichlid fish Hemichromis bimaculatus gill, 1862. Bull Eur Assoc Fish Pathol. 1998;18:157–61."
,"Heterosporis finki",1969,"Pterophyllum scalare",,,,"connective tissue around oesophagus","horizontal","8 (normal spores); 3 (small spores)","2.5 (normal spores); 1.5 (small spores)","26.1799387799149 (normal spores); 3.53429173528852 (small spores)","elliptical","Germany (host found in aquarium, origin unknown)",,,,,,,,,,,"Heterosporis finki Schubert, 1969, Z. Parasitenkd., 32, 59, Figs. 1-12. Schubert, 1969, ibid., 80, Figs. 1-10"
,"Heterosporis lessepsianus",2019,"Saurida lessepsianus",,,,"abdominal cavity; skeletal muscles; mesenteric tissues","horizontal","3.2 (c1, fresh); 4.75 (c2, fresh)","2.25 (c1); 3.3 (c2)","8.48230016469244 (c1, fresh); 27.084455664761 (c2, fresh)","ovoid to pyriform","Egypt","1 (c1); 2 (c2)",,,,"53.0143760293278 (c1); 243.630510285888 (c2)","7 - 8 (c1); 23 - 24 (c2)","7.5 (c1); 23.5 (c2)","MF769371",,,"Al Quraishy S, Abdel-Gaber R, El Deeb N, Maher S, Al-Shaebi E, Abdel-Ghaffar F. Ultrastructure and phylogenetic characterization of the microsporidian parasite Heterosporis lessepsianus n. sp. (Microsporidia: Glugeidae) infecting the lizardfish Saurida lessepsianus (Pisces: Synodontidae) inhabiting the Red Sea. Microbial Pathogenesis. 2019;130:10–8."
,"Heterosporis saurida",2012,"Saurida undosquamis",,,,"skeletal muscle of the abdominal cavity","horizontal","3.3 (c1, fresh); 5.6 (c2, fresh)","2 (c1); 3.3 (c2)","6.91150383789754 (c1, fresh); 31.9311477310867 (c2, fresh)","Oval to pyriform","(Arabian Gulf) Saudi Arabia","1 (c1)",,,,"31.4159265358979 (c1); 212.528743015349 (c2)","5 - 6 (c1); 20 - 21 (c2)","5 (c1); 20.5 (c2)","JF745533",,,"AL-QURAISHY S, ABDEL-BAKI AS, AL-QAHTANI H, DKHIL M, CASAL G, AZEVEDO C. A new microsporidian parasite, Heterosporis saurida n. sp. (Microsporidia) infecting the lizardfish, Saurida undosquamis from the Arabian Gulf, Saudi Arabia: ultrastructure and phylogeny. Parasitology. Cambridge University Press; 2012;139:454–62."
,"Heterosporis schuberti",1989,"Pseudocrenilabrus multicolor",,,,,,4.2,3.1,21.13349378,"oval","Germany",1,,,,,,,,,,"Lom, Jiří, Iva Dyková, Wolfgang Körting, and Heiner Klinger. “Heterosporis Schuberti n.Sp., a New Microsporidian Parasite of Aquarium Fish.” European Journal of Protistology 25, no. 2 (October 1989): 129–35. https://doi.org/10.1016/S0932-4739(89)80023-9."
,"Heterosporis sutherlandae",2015,"Perca flavescens; Esox lucius; Sander vitreus",,,,"Skeletal muscles; mesenteric tissues","horizontal","5.8 (fresh)",3.5,"37.2016930062591 (fresh)","ovoid to pyriform","(Minnesota) USA",1,,,,214.4136986,"18-21",19.5,"KC137548, KC137549, KC137550, KC137551, KC137552, KC137553",,,"Phelps NBD, Mor SK, Armién AG, Pelican KM, Goyal SM. Description of the Microsporidian Parasite, Heterosporis sutherlandae n. sp., Infecting Fish in the Great Lakes Region, USA. PLoS One [Internet]. 2015 [cited 2020 May 14];10. Available from: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4526549/"
,"Heterovesicula cowani (= Vairimorpha sp.)","1991; 1995","Anabrus simplex",,,"nymph; adult","adipose tissue (main infection site); Malpighian tubules; fat body","horizontal","5.4 ± 0.09 (binucleate spores, fresh); 4 ± 0.05 (uninucleate spores, fresh)","2.3 ± 0.04 (binucleate spores, fresh); 1.7 ± 0.02 (uninucleate spores, fresh)","14.957122623741 (binucleate spores, fresh); 6.05280184591633 (uninucleate spores, fresh)","ovocylindrical (binucleate spores); slightly pyriform (uninucleate spores); ovoid (uninucleate spores)","U.S.A. (Colorado); U.S.A. (Utah)","2 (binucleate spores); 1 (uninucleate spores)",,,,"79.4822941358218 (binucleate spores, fresh); 48.0663675999238 (uninucleate spores, fresh)",,"11 (binucleate spores); 9 (uninucleate spores)","EU275200",,,"1. MacVean CM, Capinera JL. Pathogenicity and transmission potential of Nosema locustae and Vairimorpha n. sp. (Protozoa: Microsporida) in Mormon crickets (Anabrus simplex; Orthoptera: Tettigoniidae): A laboratory evaluation. J Invertebr Pathol. 1991;57:23–36.
 2. Lange CE, Macvean CM, Henry JE, Streett DA. Heterovesicula cowani N. G., N. Sp. (Heterovesiculidae N. Fam.), a Microsporidian Parasite of Mormon Crickets, Anabrus simplex Haldeman, 1852 (Orthoptera: Tettigoniidae). J Eukaryotic Microbiology. 1995;42:552–8."
,"Holobispora thermocyclopis",1986,"Thermocyclops oithonoides; Thermocyclops leuckarti",,,,"Ovaries","horizontal",5.05,2.9,22.2375018,"egg-shaped","Russia",1,,,60,,2022-09-14,,,,,"Sokolova YY, Voronin VN. Annotated list of species of the Microsporidia described in the Former Soviet Union and Russia in 20th century (1967–2000). Protistology. 2018;12:12–37."
,"Hrabyeia xerkophora",1990,"""freshwater oligochaete""",,,,"body cavity coelomocytes","horizontal",,,,,"Czechoslovakia",,,,,,"6.5 - 10.5 (6 - 9.5 wide, 0.5 - 1 narrow)",,,,,"Lom J, Dykova I. Hrabyeia xerkophora n.gen. n.sp., a new microsporidian with tailed spores from the oligochaete Nais christinae Kasparzak, 1973. Eur J Protistol. 1990;25:243–8."
,"Hyalinocysta chapmani",1975,"Culiseta melanura",,,"larva","adipose tissue","horizontal","4.41 (preserved)","2.62 (preserved)","15.8503842293068 (preserved)","pyriform","U.S.A. (Louisiana)",,,,,"61.7322956430394 (preserved)","7 - 8",7.5,,,,"Hyalinocysta chapmani H. & O., 1975, U. S. Dep. Agric. Tech. Bull., 1530, 52, Figs. 44-47"
,"Hyalinocysta expilatoria",1983,"Odagmia ornata",,,"larva",,,5,2.25,13.25359401,"pyriform","Sweden",1,,,,49.48008429,,7,,,,"Larsson, J. I. Ronny. “Description of Hyalinocyste Expilatoria n. Sp., a Microsporidian Parasite of the Blackfly Odagmia Ornata.” Journal of Invertebrate Pathology 42 (1983): 348–56."
,"Hyalinocysta sp.",,"Aedes vexans; Aedes cantans",,,"larva","fat body","horizontal",,,,,"Czechoslovakia",,,,,,,,,,,"1. Thelohania barbata Weiser, 1969 [nomen nudum] ""Atlas of Insect Diseases"" [fide Hazard, personal communication] H. & O., 1975, U. S. Dep. Agric. Tech. Bull., 1530, 94. Weiser, 1971, J. Protozool., 18 (Suppl.), 47
 2. Hyalinocysta sp. H. & C., WHO Bull., in press"
,"Hyperspora aquatica",2017,"Marteilia cochillia",,,,"Primary cells","horizontal","1.2 (fresh)",1,"0.628318530717959 (fresh)","spherical to ellipsoidal","Spain",1,,,,,,,"KX364284",,,"STENTIFORD GD, RAMILO A, ABOLLO E, KERR R, BATEMAN KS, FEIST SW, et al. Hyperspora aquatica n.gn., n.sp. (Microsporidia), hyperparasitic in Marteilia cochillia (Paramyxida), is closely related to crustacean-infecting microspordian taxa. Parasitology. Cambridge University Press; 2017;144:186–99."
,"Ichthyosporidium giganteum","1905; 1995","Ctenolabrus rupestris; Crenilabpus melops; C. ocellatus; Leiostomus xanthurus",,"saltwater",,"Connective tissue of abdomen; liver; subcutaneous connective tissue","horizontal","7.26 (fresh); 5.83","5.16 (fresh); 4","101.212615122479 (fresh)",,"France (Roscoff) [Thelohan, Le Danois]; (Concarneau) LC. & M.]; (Luc-sur-Mer) [Mercier] Holland (Swellengrebel); U.S.S.R. (Sevastopol) [Swarczewsky]; Black Sea; Atlantic coast of U.S.A.; Crimean coast of Black Sea; Atlantic North coast of Portugal",2,,,,"697.056577978503 (fresh)","46 (max)","43 ± 2.9","L13293",,,"1. Glugea gigantea Thelohan, 1895, Bull. Sci. Fr. Belg., 26, 359, Figs. 143,144. Mercier, 1921, C. R. Soc. BioI., 84, 261.Reichenow, 1932, in ""Tierwelt der Nord- und Ostsee"" (Grimpe & Wagler, eds.) 21(II), 79
 2. Nosema giganteum (Thelohan, 1895) Labbe, 1899, in ""Das Tierreich"" (0. Butschli, ed.), 5, 106
 3. Ishthyosporidium phymogenes C. & M., 1905, C. R. Soc. BioI., 58, 641. Caullery & Mesnil, 1905, Arch. Zool. Exp. Gen., 4 139. Figs. 117-124
 4. Plistophora labrorum Le Danois, 1910, Bull. Soc. Sci. Med. Rennes, 19, 211, 2 figs. Reichenow, 1932, in ""Tierwelt der Nord- und Ostsee"" (Grimpe & Wagler, eds.) 21(II), 79
 5. Pleistophora gigantea (Thelohan, Swellengrebel, 1911, Amsterdam Versl. Wis. Nat. Afd. K. Akad. Wet., 20, 238, Figs. 1-7. Swellengrebel, ibid., 14, 377, Figs.1-7. Swellengrebel, 1912, Parasitology,4, 345, Figs. 1-22, PIs. 7, 8. Sprague & Vernick, 1968, J. Protozool., 15, 662, Figs. 1-3
 6. Ichthyosporidium giganteum (Thelohan, 1895) Swarczewsky, 1914, Arch. Protistenkd., 33, 51, Figs. 1-47, textfigs. A-E. Weissenberg, 1921, in""Handbuch der Pathogene Protozoen"" (S. von Prowazek, ed.), 3,1397, Figs. 1-3, 5-7,10-13. Kudo, 1966, ""Protozoology, 5th ed.,"" p. 763, Fig. 763
 7. Thelohania gigantea (Thelohan, 1895) Cau11ery, 1953, in ""Traite de Zoologie"" (P. P. Grasse, ed.), 1(2), 928. [?] Ichthyosporidium sp. Schwartz, 1963, Prog. Fish-Cult., 25, 181, Figs. 1-5. Sprague, 1966, J. Protozool., 13, 356, Figs. 1-6. Sprague, 1969, Natl. Cancer Inst. Monogr.,31, 237, Figs. 1-11. Sprague & Vernick, 1974, J. Protozool., 21, 667, Figs. 1-11
 8. Casal G, Azevedo C. New ultrastructural data on the microsporidian Ichthyosporidium giganteum infecting the marine teleostean fish Ctenolabrus rupestris (L.). J Fish Diseases. 1995;18:191–4"
,"Ichthyosporidium heptwigi",1914,"Crenilabrus pavo",,,,"gills","horizontal",6,4.5,63.61725124,,"U.S.S.R. (Sevastopol).",,,,,,,,,,,"Ichtyhosporidium heptwigi Swarczewsky, 1914, Arch. Protistenkd., 33, 76, Figs. 48-76, textfigs. F-K. Weissenberg, 1921, ""Handbuch der Pathogene Protozoen"" (S. von Prowazek, ed.), 3, p. 1398, Figs. 3b-d, 4, 13."
,"Ichthyosporidium weissii",2012,"Clevelandia ios",,,,"Connective tissue in Gonad","horizontal","6.2 (c1); 8.5 (c2)","4.3 (c1); 5.5 (c2)","60.0243164370378 (c1); 134.630335175713 (c2)","Ovoid to pyriform","((Morro Bay) California) U.S.A.","2 (c1); 2 (c2)",,,,"574.126057443535 (c1)","35 to well over 50 (authors noted that this was not a good indicator of taxonomy for this genus)","42.5 (likely c1, c2 is rare)","JQ062988",,,"Sanders J, Myers MS, Tomanek L, Cali A, Takvorian PM, Kent ML. Ichthyosporidium weissii n. sp. (Microsporidia) Infecting the Arrow Goby ( Clevelandia ios). Journal of Eukaryotic Microbiology. Wiley; 2012;59:258–67."
,"Indosporus sp.",,"Palaemon serratus; Palaemon elegans",,,,"muscles","horizontal","3 (fresh, normal spores); 5.5 (macrospores)",,,,"France (Le Croisic, Roscoff); England (Plymouth); Roumania (Black Sea)",,,,,,,,,,,"1. Orthothelohania octospora (Henneguy, 1892) Codreanu & Balcescu-Codreanu [partim], 1974, in ""Proceedings of the Third International Congress of Parasitology,"" 1, 16
 2. Orthothelohania sp. [presumably octospora] Codreanu, Codreanu-Balcescu & Porchet-Hennere, 1974, C. R. Acad. Sci., 279, 2049
 3. Thelohania sp. Codreanu-Balcescu, Codreanu & Porchet-Hennere, 1975, J. Protozool., 22, 78A
 4. [non] TheLohania octospora Henneguy, 1892. Goodrich, 1920, Arch Zool. Exp. Gen. Notes Rev., 59, 17, Figs. 1, 2. Kudo [partim], 1924, Ill. Biol. Monogr., 9(2/3), 134, Fig. 443. Codreanu, 1966, in ""Proceedings of the First International Congress of Parasitology"" (A. Corradetti, ed.), p. 602. Codreanu & Balcescu-Codreanu, 1974, in ""Proceedings of the Third International Congress of Parasitology,"" 1, 15"
,"Indosporus spraguei",1974,"Palaemonetes pugio (type host); Palaemonetes kadiakensis",,,,"abdominal muscles","horizontal",2.9,2,6.073745797,"pyriform","U.S.A. (type locality Davis Bayou, Ocean Springs, Mississippi; also found in Texas)",1,50,35,37,,,,,,,"Indospopus spraguei O. & W., 1974, Z. Parasitenkd., 44, 169, Figs. 1-19. Hazard & Oldacre, 1975, U. S. Dep. Agric. Tech. Bull., 1530, 56"
,"Intexta acarivora",1997,"Tyrophagus putrescentiae",,,,"gut epithelium","horizontal","1.5 (microspores); 1.9 (macrospores)","1.5 (microspores); 1.9 (macrospores)","1.76714586764426 (microspores); 3.59136400182873 (macrospores)","spherical; slightly ovoid",,,"53.72 (macrospores, max)",,,"11.7809724509617 (microspores)","2 - 3 (microspores, 1 - 2 wide anterior, 1 narrow posterior); <=9 (macrospores, 3 - 4 wide anterior, ? posterior)","2.5 (microspores)",,,,"Larsson JIR, Steiner MY, Bjornson S. Intexta acarivora gen. et sp. n. (Microspora: Chytridiopsidae)-ultrastructural study and description of a new microsporidian parasite of the forage mite Tyrophagus putrescentiae (Acari: Acaridae). Acta Protozool. 1997;36:295–304."
,"Intrapredatorus barri",1998,"Culex fuscanus (type host); Culex halifaxi",,,"larva","fat body","both","7.38 ± 0.63 (type 1, fresh); 6.2 ± 0.58 (type 1, stained); 8.14 ± 0.42 (type 2, fresh)","4.59 ± 0.47 (type 1, fresh); 4.32 ± 0.58 (type 1, stained); 4.41 ± 0.28 (type 2, fresh)","81.410487467667 (type 1, fresh); 82.8896309703861 (type 2, fresh)","oval (type 1); lanceolate (type 2)","Taiwan (Liu-Chiu Islet)","1 (type 1, fresh); 1 (type 2, fresh)",,,,"129.779192519794 (type 1, fresh); 96.9809652163169 (type 2, fresh)","5.5 - 8.5 (type 2)","9 (type 1, 3 - 4 large, 5 - 6 small); 7 (type 2)","AY013359",,,"Chen W-J, Kuo T-L, Wu S-T. Development of a new microsporidian parasite, Intrapredatorus barri n.g., n.sp. (Microsporida: Amblyosporidae) from the predacious mosquito Culex fuscanus Wiedemann (Diptera: Culicidae). Parasitol Int. 1998;47:183–93."
