...1,species,num_papers,title_abstract,infection_site,infection_site_formatted,infection_site_normalized,pred_infection_site,tp,fp,fn
215,Glugea plecoglossi,1,"Studies on Glugea Infection of the Ayu, Plecoglossus altivelis—I ::: A new species of microsporidian parasite of the ayu, Plecoglossus altivelis T. & S., is described and the name Glugea plecoglossi T. sp. is suggested. In a heavy infection of the parasite xenomas develop in large number in various organs, viz., peritoneum, visceral cavity, ovaries, testis, fat body, pyloric caeca, spleen, muscle, liver, heart, gills, iris, etc., and cause serious damage to fish. The xenomas are variable in size, being 0.5-3 mm, rarely as large as 5 mm. Fresh spores of the parasite are elongate or ellipsoidal and are 5.1-6.2 x 2.0-2.5µ, the average of 200 spores being 5.8 x 2.1 Spores fixed in Bouin's solution and stained with Heidenhein's iron hematoxylin are 3.S-4.8 x 1.5-2.0 µ the average of 50 spores being 4.0 X 1.8 µ. Everted filaments are 180 µ at maximum, being 100-150 µ in the majority. The processes of schizogony and sporogony of the parasite studied with artificially infected ayu are in substance the same as those reported by Weissenberg (1968) on Glugea anomala and by Sprague and Yernick (1968) on G. weissenbergu A very small xenoma of 4x8 µ with a single schizont and a single host cell nucleus was found in the lamina propria of the villi of the gut of an ayu killed 5 days after infection. Sporonts in smear preparations of parasite are 3 x 4 µ and each sporont produce two spores. Therefore the parasite is classified into the genus Glugea. Inoculation experiments have shown that Salmo gairdneri is susceptible to the parasite, but. Gasterosteus acelatus microcephalus is unsusceptible. Of about 15 species of Glugea in fish, G. hertwigi has spores similar in size to those of the present Glugea, But the former differs from the latter in the following points. The hosts of G. hertwigi are Osmerus mordax and O. eperlanus and it has been reported by Weissenberg (1968) that Gasterosteus aceleatus is susceptible to G. hertwigi, G. anomala and G. weissenhergi are distinguishable in having smaller spores, 3 x 1.5-2 µ, and larger spores, 6.0-7.0 X 2.5-3.6 µ, respectively, and in having different hosts, the sticklebacks. G, takedai which was found in the rainbow trout in Japan is distinguishable in having smaller spores, 2.8-4.9 x 1.7-2.3 µ, and in not causing hypertrophy of the infected host cells.",peritoneum; visceral cavity; ovary; testes; fat body; pyloric caeca; spleen; muscles; liver; heart; gills; iris,peritoneum; visceral cavity; ovary; testes; fat body; pyloric caeca; spleen; muscles; liver; heart; gills; iris,testes; gills; liver; peritoneum; ovary; iris; pyloric caeca; muscles; visceral cavity; spleen; fat body; heart,schizont; host cells; lamina propria; gut; villi; cell nucleus; takedai,0,7,12
216,Glugea serranus,1,"Ultrastructural and molecular characterization of Glugea serranus n. sp., a microsporidian infecting the blacktail comber, Serranus atricauda (Teleostei: Serranidae), in the Madeira Archipelago (Portugal) ::: A new microsporidian infecting the connective tissue of the coelomic cavity of the blacktail comber Serranus atricauda, in the Madeira Archipelago (Portugal), is described on the basis of morphological, ultrastructural, and molecular features. The microsporidian formed large whitish xenomas adhering to the peritoneal visceral organs of the host. Each xenoma consisted of a single hypertrophic cell, in the cytoplasm of which mature spores proliferated within parasitophorous vacuoles surrounded by numerous collagen fibers. Mature spores were ellipsoidal and uninucleated, measuring an average of 6.5 ± 0.5 μm in length and 3.4 ± 0.6 μm in width. The anchoring disk of the polar filament was subterminal, laterally shifted from the anterior pole of the spore. The isofilar polar filament coiled in 18–19 turns, forming two rows that surrounded the posterior vacuole. The latter occupied about one third of the spore length. The polaroplast surrounding the apical and uncoiled portion of the polar filament displayed two distinct regions: a lamellar region and an electron-dense globule. Molecular analysis of the rRNA genes, including the internal transcribed spacer region, and phylogenetic analysis using maximum likelihood and neighbor joining demonstrated that this microsporidian parasite clustered with some Glugea species. Based on the differences found both at the morphological and molecular levels, to other members of the genus Glugea, the microsporidian infecting the blacktail comber is considered a new species, thus named Glugea serranus n. sp.",connective tissue of the coelomic cavity,connective tissue of the coelomic cavity,connective tissue,coelomic cavity; connective tissue,1,1,0
220,Gurleya dorisae,1,"LIGHT-MICROSCOPIC AND ULTRASTRUCTURAL-STUDY OF GURLEYA-LEGERI-SENSU MACKINNON (1911) WITH ESTABLISHMENT OF THE NEW SPECIES GURLEYA-DORISAE SP-N (MICROSPORA, GURLEYIDAE) ::: The microsporidium Gurleya dorisae sp. n., a parasite of caddis fly larvae of the species Anabolin nervosa and Micropterna lateralis, is described based on light microscopic and ultrastructural characteristics. All life cycle stages have isolated nuclei. The merogonial reproduction was revealed by small groups of merozoites. The dominant sporogony yields four sporoblasts by rosette-like budding, enclosed in a sporophorous vesicle produced by the sporont. Together with the tetrasporous sporogony production of macrospores in 3-, 2- or 1-sporous vesicles occurs. Spores are pyriform, with pointed anterior pole. Fixed tetraspores from A. nervosa measure 3.0-3.5 x 4.6-5.2 mu m. The greatest fixed macrospores observed were 10.4 mu m long. The spore wall has the normal three subdivisions, including a layered, ca 43 nm wide exospore, where the intermediate layer is a double-layer The polaroplast has two lamellar parts, with the anterior lamellae more closely packed. The polar filament is isofilar, with 20-25 coils in tetraspores, up to 34 coils in macrospores. The coils have approximately identical diameter in tetraspores and macrospores. Granular and tubular inclusions of two kinds appear in the episporontal space. Wide, septate tubules of exospore nature disappear when the spores mature. Narrow, thin-walled tubules persist. Macrospores often exhibit aberrant cytology. In A. nervosa the adipose tissue is more or less completely invaded by the parasite. The fat body lobes are not transformed into syncytia. Defense reactions were not observed in this host. Infection in M. lateralis was visible as local herds, and nodule formation with incorporation of dark pigment was observed. The species is compared to previously described microsporidia of caddis flies and the generic position is discussed. It is obviously identical to the microsporidium Mackinnon (1911) reported under the name Gurleya legeri Hesse, 1903.",adipose tissue (of Anabolin nervosa),adipose tissue,adipose tissue,adipose tissue; episporontal,1,1,0
226,Hamiltosporidium tvaerminnensis,1,"Cytological and molecular description of Hamiltosporidium tvaerminnensis gen. et sp. nov.Cytological and molecular description of Hamiltosporidium tvaerminnensis gen. et sp. nov., a microsporidian parasite of Daphnia magna, and establishment of Hamiltosporidium magnivora comb. nov. ::: We describe the new microsporidium Hamiltosporidium tvaerminnensis gen. et sp. nov. with an emphasis on its ultrastructural characteristics and phylogenetic position as inferred from the sequence data of SSU rDNA, alpha- and beta-tubulin. This parasite was previously identified as Octosporea bayeri Jírovec, 1936 and has become a model system to study the ecology, epidemiology, evolution and genomics of microsporidia - host interactions. Here, we present evidence that shows its differences from O. bayeri. Hamiltosporidium tvaerminnensis exclusively infects the adipose tissue, the ovaries and the hypodermis of Daphnia magna and is found only in host populations located in coastal rock pool populations in Finland and Sweden. Merogonial stages of H. tvaerminnensis have isolated nuclei; merozoites are formed by binary fission or by the cleaving of a plasmodium with a small number of nuclei. A sporogonial plasmodium with isolated nuclei yields 8 sporoblasts. Elongated spores are generated by the most finger-like plasmodia. The mature spores are polymorphic in shape and size. Most spores are pyriform (4·9–5·6×2·2–2·3 μm) and have their polar filament arranged in 12–13 coils. A second, elongated spore type (6·8–12·0×1·6–2·1 μm) is rod-shaped with blunt ends and measures 6·8–12·0×1·6–2·1 μm. The envelope of the sporophorous vesicle is thin and fragile, formed at the beginning of the sporogony. Cytological and molecular comparisons with Flabelliforma magnivora, a parasite infecting the same tissues in the same host species, reveal that these two species are very closely related, yet distinct. Moreover, both cytological and molecular data indicate that these species are quite distant from F. montana, the type species of the genus Flabelliforma. We therefore propose that F. magnivora also be placed in Hamiltosporidium gen. Nov.",adipose; ovaries; hypodermis,adipose; ovaries; hypodermis,hypodermis; Adipose tissue; ovaries,adipose; Adipose tissue; SSU; ovaries; hypodermis; Hamiltosporidium,3,3,0
229,Helmichia glandulicola,1,"Helmichia glandulicola sp.nov. (Microspora, Thelohaniidae): morphology, development and influence on salivary glands of Chironomus anthracinus (Diptera, Chironomidae) ::: Helmichia glandulicola, a microsporidian parasite specific for cells of the salivary glands of the midge Chironomus anthracinus, is described. It is characterized by tubular spores with a distinct polar cap that are enclosed in persistent octosporous pansporoblasts. The pansporoblastic membrane is formed early during the first sporogonial division. A granular secretion occurs in the pansporoblast among the oval sporoblasts, which subsequently become tubular and display a rigid polar filament. The solitary infected cell reacts with hypertrophy and depletion of its endoplasmic reticulum and ribosomal system. There are differences in the morphology of mitochondria in infected vs noninfected cells. The production of saliva by the host is only partially reduced following infection. © 1991 Springer-Verlag.",salivary glands,salivary glands,salivary glands,salivary glands; cells,1,1,0
232,Heterosporis cichlidarum,1,"Heterosporis cichlidarum n.sp (Microspora), a parasite of the ornamental cichlid fish Hemichromis bimaculatus gill, 1862 ::: Heterosporis cichlidarum n. sp. (Microspora) was found in the striated skeletal muscles of the aquarium fish Hemichromis bimaculalus (Teleost, Cichlidae). Microsporidium formed voluminous sporophorocysts that contained many sporophorous vesicles (10 to 12 spores in each vesicle). Only one type of spores was present, medium size 7-8 × 4-4.5 μm (monomorphic species). During merogony, abundant secretions (granules and filaments were formed into the sporophorocyst cavity.",striated muscles,striated muscles,striated muscles,gill; striated skeletal muscles,0,2,1
233,Heterosporis lessepsianus,1,"Ultrastructure and phylogenetic characterization of the microsporidian parasite Heterosporis lessepsianus n. sp. (Microsporidia: Glugeidae) infecting the lizardfish Saurida lessepsianus (Pisces: Synodontidae) inhabiting the Red Sea ::: Heterosporosis is an increasingly important microsporidian disease distributed worldwide, impacting wild and farmed-raised fish in both fresh and marine water environments. Twenty three out of 130 (17.69%) of the lizardfish Saurida lessepsianus were found to be naturally infected with microsporidian parasites. The rate of parasitic infection was increased during winter reaching 29.23% (19/65) and fall to 6.15% (4/65) in summer. The infection was recorded as numerous macroscopic whitish cysts reached 3.8–6.5 mm in diameter embedded in the abdominal cavity, skeletal muscles and mesenteric tissues of the infected fish inducing an enormous hypertrophy of infected tissues. Light microscopic examination revealed that parasitic foci were encapsulated by a host–derived fibrous membrane containing different developmental stages of the parasite. Spores were oval to pyriform in shape. Transmission electron microscopic study showed the presence of smooth membranes of the sarcoplasmic reticulum forming a thick, amorphous coat surrounding the various developmental stages of the examined parasite (meronts, sporont, sporoblasts, and spores). Mature spores were electron dense and uninucleate. The anchoring disk was found in a central position at the anterior end of the spore and a large vacuole was located at the posterior end. There was a definite number (7–8) of the polar filament turns. Molecular analysis based on the 16 small subunit (SSU) rDNA gene was performed to determine the phylogenetic position of the present parasite species. A 615 bp region of the 16SSU rDNA gene of the studied parasite was sequenced and deposited in GenBank under the accession number MF769371. Multiple sequence alignment demonstrated a high degree of similarity (>82%) with other twenty microsporidian species isolated from different aquatic hosts. The most closely related sequence was provided by the GenBank entry JF745533 for Heterosporis saurida isolated from the marine fish Saurida undosquamis with the highest percentage of identity (98%) and lowest divergence value (0.9). The ultrastructural characteristics and phylogenetic analysis support the recognition of a new species, herein named Heterosporis lessepsianus sp. n.",abdominal cavity; skeletal muscles; mesenteric tissues,abdominal cavity; skeletal muscles; mesenteric tissues,abdominal cavity; mesenteric tissues; skeletal muscles,vacuole; spore,0,2,3
234,Heterosporis saurida,1,"A new microsporidian parasite, Heterosporis saurida n. sp. (Microsporidia) infecting the lizardfish, Saurida undosquamis from the Arabian Gulf, Saudi Arabia: ultrastructure and phylogeny ::: SUMMARY A new microsporidian that infects the lizardfish Saurida undosquamis (Richardson, 1848) that are caught in the Arabian Gulf in Saudi Arabia is described here. This parasite invades the skeletal muscle of the abdominal cavity forming white, cyst-like structures containing numerous spores. The prevalence of the infection was 32·1% (135/420). The spores were oval to pyriform in shape and measured approximately 3·3 μm×2·0 μm. The developing spores were found within parasitophorous vacuoles. In mature spores, the polar filament was arranged into 5 coils in a row. Molecular analysis of the rRNA genes, including the ITS region, and phylogenetic analyses using maximum parsimony, maximum likelihood, and Bayesian inference were performed. The ultrastructural characteristics and phylogenetic analyses support the recognition of a new species, herein named Heterosporis saurida n. sp.",skeletal muscle of the abdominal cavity,skeletal muscle of the abdominal cavity,skeletal muscle,skeletal muscle; parasitophorous,1,1,0
239,Hrabyeia xerkophora,1,"Hrabyeia xerkophora n.gen. n.sp., a new microsporidian with tailed spores from the oligochaete Nais christinae Kasparzak, 1973 ::: A new microsporidian, Hrabyeia xerkophora n.g., n.sp., is described from the coelomocytes of the body cavity of a freshwater oligochaete, Nais christinae Kasparzak, 1973 from Czechoslovakia. Infected coelomocytes are turned into xenomas 50 μm in size. Of the incompletely known life cycle, diplokaryotic sporonts developing in close contact with the host cell cytoplasm and diplokaryotic spores were studied. The spores of a Nosema-type have a gnarled caudal appendage encased with and compartmentalized by the exospore.",body cavity coelomocytes,body cavity coelomocytes,body cavity coelomocytes,coelomocytes; body cavity,0,2,1
241,Hyperspora aquatica,1,"Hyperspora aquatica n.gn., n.sp. (Microsporidia), hyperparasitic in Marteilia cochillia (Paramyxida), is closely related to crustacean-infecting microspordian taxa ::: SUMMARY The Paramyxida, closely related to haplosporidians, paradinids, and mikrocytids, is an obscure order of parasitic protists within the class Ascetosporea. All characterized ascetosporeans are parasites of invertebrate hosts, including molluscs, crustaceans and polychaetes. Representatives of the genus Marteilia are the best studied paramyxids, largely due to their impact on cultured oyster stocks, and their listing in international legislative frameworks. Although several examples of microsporidian hyperparasitism of paramyxids have been reported, phylogenetic data for these taxa are lacking. Recently, a microsporidian parasite was described infecting the paramyxid Marteilia cochillia, a serious pathogen of European cockles. In the current study, we investigated the phylogeny of the microsporidian hyperparasite infecting M. cochillia in cockles and, a further hyperparasite, Unikaryon legeri infecting the digenean Meiogymnophallus minutus, also in cockles. We show that rather than representing basally branching taxa in the increasingly replete Cryptomycota/Rozellomycota outgroup (containing taxa such as Mitosporidium and Paramicrosoridium), these hyperparasites instead group with other known microsporidian parasites infecting aquatic crustaceans. In doing so, we erect a new genus and species (Hyperspora aquatica n. gn., n.sp.) to contain the hyperparasite of M. cochillia and clarify the phylogenetic position of U. legeri. We propose that in both cases, hyperparasitism may provide a strategy for the vectoring of microsporidians between hosts of different trophic status (e.g. molluscs to crustaceans) within aquatic systems. In particular, we propose that the paramyxid hyperparasite H. aquatica may eventually be detected as a parasite of marine crustaceans. The potential route of transmission of the microsporidian between the paramyxid (in its host cockle) to crustaceans, and, the ‘hitch-hiking’ strategy employed by H. aquatica is discussed.",Primary cells,Primary cells,Primary cells,cockles,0,1,1
242,Ichthyosporidium weissii,1,"Ichthyosporidium weissii n. sp. (Microsporidia) Infecting the Arrow Goby ( Clevelandia ios) ::: Abstract Gonadal infections by a novel microsporidium were discovered in 34% (13/38) of arrow gobies, Clevelandia ios, sampled over a 3‐yr period from Morro Bay Marina in Morro Bay, California. Gonadal tumors had been reported in arrow gobies from this geographic area. The infected gonads, found primarily in females, typically appeared grossly as large, white‐gray firm and lobulated masses. Histological examination revealed large, multilobate xenomas within the ovaries and no evidence of neoplasia. Typical of the genus Ichthyosporidium, the large xenomas were filled with developmental stages and pleomorphic spores. Wet mount preparations showed two general spore types: microspores with mean length of 6.2 (7.0–4.9, SD = 0.6, N = 20) μm and mean width of 4.3 (5.3–2.9, SD = 0.8) μm; and less numerous macrospores with mean length of 8.5 (10.1–7.1, SD = 1.0, N = 10) μm and mean width of 5.5 (6.2–4.8, SD = 0.5) μm. Transmission electron microscopy demonstrated stages consistent with the genus and 35–50 turns of the polar filament. Small subunit rDNA gene sequence analysis revealed that the parasite from arrow gobies was most closely related to, but distinct from Ichthyosporidium sp. based on sequences available in GenBank. We conclude that this microsporidium represents a new species of Ichthyosporidium, the first species of this genus described from a member of the family Gobiidae and from the Pacific Ocean.",Connective tissue in Gonad,Connective tissue in Gonad,Connective tissue,Morro,0,1,1
243,Intexta acarivora,1,"Intexta acarivora gen. et sp. n. (Microspora: Chytridiopsidae)-ultrastructural study and description of a new microsporidian parasite of the forage mite Tyrophagus putrescentiae (Acari: Acaridae) ::: The microsporidium Intexta acarivora gen. et sp. n., a parasite of the gut epithelium of the forage mite Tyrophagus putrescentiae (Schrank, 1781) is described based on ultrastructural characteristics. Reproduction is restricted to the production of sporoblasts. The sporont has isolated nuclei, and the external pan of the sporont (plasma membrane and peripheral zone of cytoplasm) remains as an envelope collecting the uninucleate sporoblasts. Sporogony is by vacuolation, and mature spores are spherical to slightly ovoid and lack a polaroplast. Microspores (1.3-1.7 μm wide) are dominant, and only a small percentage of macrospores (1.5-2.3 μm wide) were seen. The exospore is composed as a thin (ca 16 nm) uniform, electron-dense layer; the endospore is well developed. The polar filament is completely coiled and anisofilar, and in microspores arranged in 2-3 coils (anterior 1-2 wider); macrospores have up to 9 coils (anterior 3-4 wider). The external zone of the polar filament contains tubular material, and the polar sac is without an anchoring disc. The species is compared to previously described microsporidia of mites, and the genus and family affiliations are discussed.",gut epithelium,gut epithelium,gut epithelium,gut epithelium; mites,1,1,0
244,Intrapredatorus barri,1,"Development of a new microsporidian parasite, Intrapredatorus barri n.g., n.sp. (Microsporida: Amblyosporidae) from the predacious mosquito Culex fuscanus Wiedemann (Diptera: Culicidae) ::: A microsporidium infecting the predacious mosquito Culex fuscanus Wiedemann, collected from Liu-Chiu Islet of Taiwan, was shown to be heterosporous. Two different types of haploid spores, one oval and the other lanceolate, were concurrently produced in the infected larvae. Merogony preceding the sequence leading to oval meiospores ended with the formation of a binucleate sporont with similar ultrastructural features to meronts. Synaptonemal complexes, suggesting that meiosis was involved during this sporogony, appeared in both nuclei of the sporont. The polar filament in the mature meiospore was anisofilar. Nine coiled turns of the polar filament were shown turning about the posterior portion of the spore. The polaroplast was composed of an anterior lamellate part and a posterior vesicular part. The anchoring disc was at the top of the straight portion of the polar filament. The meront of the lanceolate spore cannot be confirmed in this study. Two uninucleate lanceolate spores were eventually formed via nuclear dissociation. The polaroplast of the lanceolate spore was divided into an anterior multi-chambered part and a posterior of reticulate part. The polar filament was of the isofilar type, consisting of at least 5-6 coils. This parasite was extremely similar to the species Amblyospora trinus; in spore shape and development; but different in spore size and their hosts. Although it was similar to species of Amblyospora in host/parasite relations, we would rather assign this parasite to a newly established genus, i.e. Intrapredatorus and the name Intrapredatorus barri n.g., n.sp. was given for this microsporidium. The characteristics of the new genus was discussed in this article. However, its transmission routes remained uncertain thus far.",fat body,fat body,fat body,Islet; nuclei; Synaptonemal,0,3,1
246,Janacekia adipophila,1,"The Light and Electron Microscopic Cytology of Janacekia adipophila N. Sp. (Microspora, Tuzetiidae), a Microsporidian Parasite of Ptychoptera paludosa (Diptera, Ptychopteridae) ::: The microsporidium Janacekia adipophila n. sp., a parasite of Ptychoptera paludosa larvae in Sweden, is described based on light microscopic and ultrastructural characteristics. Merogonial stages and sporonts are diplokaryotic. Merozoites are formed by rosette‐like division. Sporonts develop into sporogonial plasmodia with isolated nuclei. These plasmodia give rise to 8–16 sporoblasts by rosette‐like budding. A sporophorous vesicle is initiated by the sporogonial plasmodium. Sporoblasts and spores are enclosed in individual sporophorous vesicles. Granular inclusions of the vesicles, visible using light microscopy, discriminate sporogonial stages from stages of the merogony. The monokaryotic, fresh spores are oval with blunt ends, measuring 4.2‐6.3 × 9.1‐11.2 μm. Macrospores are formed in small numbers. The spore wall has three subdivisions and the exospore is electron‐dense. The polaroplast has two parts: closely arranged lamellae anteriorly, wider sac‐like compartments posteriorly. The isofilar polar filament, 191–264 nm wide, has 12‐13 coils, which are arranged in one layer in the posterior half of the spore. The electron‐dense inclusions of the sporophorous vesicle are modified during sporogony, and vesicles with mature spores are traversed by 21–27 nm wide tubules, which connect the exospore with the envelope of the vesicle. The walls of the tubules, the envelope of the vesicles, and the surface layer of the exospore are all identical double‐layered structures. The microsporidium is compared to microsporidia of Ptychopteridae and Tipulidae and to related microsporidia of the family Tuzetiidae.",adipose tissue,adipose tissue,adipose tissue,paludosa larvae,0,1,1
254,Kabatana newberryi,1,"A New Microsporidian Infecting the Musculature of the Endangered Tidewater Goby (Gobiidae) ::: A previously unrecognized microsporidian (Kabatana newberryi n. sp.) is described from the musculature of Eucyclogobius newberryi (Gobiidae) in Big Lagoon, Humboldt County, California. Spores are ovoid, ranging in size from 2.8 ± 0.3 micrometers in total length and 1.9 ± 0.4 micrometers in width (measurements of 30 spores made by calculation from micrograph). The polar filament has 9-10 coils in 1-2 rows. Development occurs in direct contact with host muscle cell cytoplasm, without xenoma or sporophorous vesicle. Phylogenetic analysis of the new species and of 35 other microsporidians known to infect fish using 1,115 base pairs of aligned 1 6S rRNA gene indicate the new species is most closely related to Kabatana takedai. However, the new species differs by 11 % sequence divergence from K. takedai. Divergence in morphology and genetic data allow for diagnosis from all other fish-infecting microsporidia and supports recognition of a new species of microsporidian, Kabatana newberryi n. sp., presently known only from a suspected specific host, the endangered tidewater goby Eucyclogobius newberryi.",muscle,muscle,Set of muscles,Kabatana newberryi n.; Set of muscles,1,1,0
255,Kabatana rondoni,1,"ULTRASTRUCTURAL AND MOLECULAR CHARACTERIZATION OF A NEW MICROSPORIDIUM PARASITE FROM THE AMAZONIAN FISH, GYMNORHAMPHICHTHYS RONDONI (RHAMPHICHTHYIDAE). ::: A new species of a microsporidium found in the freshwater teleost Gymnorhamphichthys rondoni, collected on the lower Amazon River, is described based on light, ultrastructural, and phylogenetic studies. This parasite develops in the skeletal muscle of the abdominal cavity, forming whitish cyst-like structures containing numerous spores. Mature spores, lightly pyriform to ellipsoidal with rounded ends and measuring 4.25 ± 0.38 X 2.37 ± 0.42 μm (n = 30), were observed. The spore wall, which measured about 102 nm, was composed of 2 layers with approximately the same thickness. The isofilar polar filament was coiled, with 9-10 (rarely 8) turns. The posterior vacuole appeared as a pale area, occupying about 1/3 of the spore length, and contained a spherical posterosome composed of granular material that was denser at the periphery. The myofibrils located near the spores appeared to be in advanced degradation. Molecular analysis of the rRNA genes, including the ITS region, and phylogenetic analyses using maximum parsimony, maximum likelihood, and Baysesian inference were performed. The ultrastructural characteristics of the spores and the phylogenetic data strongly suggested that it is a new species related to Kabatana, Microgemma, Potaspora, Spraguea, and Tetramicra. We named this new microsporidian from Amazonian fauna as Kabatana rondoni n. sp.",Skeletal muscle of intestine,Skeletal muscle of intestine,Skeletal muscle,pale; periphery; spore; granular material; posterosome; myofibrils,0,6,1
256,Kinorhynchospora japonica,1,"OF KINORHYNCHUS-YUSHINI (HOMALORHAGIDA, PYCHOPHYIDAE) FROM THE SEA OF JAPAN ::: A new species and genus of microsporidia Kinorhynchospora japonica are described from the mid-intestine of Kinorhynchus yushini from the Sea of Japan. The transmission electron microscopy was used to describe the stages of meront, pansporoblast, rozette-shaped sporont, sporoblast and mature spores. Two types of mature spores have been isolated. The similarity and differences as compared with genera Nosemoides, Perezia, and Encephalitozoon are discussed. The genus described is the closest to family Tetramicridae but ty the set of characters does not correspond to the diagnosis of the latter. The taxonomic position of the microsporidia described is still not known. This finding is the first of free-living Nemathelminthes.",mid-intestinal epithelium,mid-intestinal epithelium,mid-intestinal epithelium,pansporoblast; meront; mid-intestine; Kinorhynchus yushini,0,4,1
262,Lanatospora costata,1,"Microsporidia in a Woodland Pool I. Lanatospora costata sp. n. (Opisthosporidia, Microsporidia), Parasite of Megacyclops viridis (Crustacea, Copepoda): Fine Structure and Molecular Phylogeny ::: Lanatospora costatasp. n., a new microsporidian parasite of the adipose and connective tissue cells of Megacyclops viridis (Jurine, 1820) (Copepoda: Cyclopidae) is described. It was isolated from a woodland pool with a rich and diverse fauna of microsporidia-infected small crustaceans and insect larvae. The parasite is structurally similar to the genus Lanatospora Voronin, 1989, characterized by a complex decorated exospore. In the described species the exospore is armoured by a conspicuous layer of interwoven ribs forming labyrinth on the spore surface. SSU rRNA phylogeny places the organism in the “aquatic outgroup” of microsporidia (Vossbrinck et al. 2004), which includes a number of microsporidia from aquatic microcrustacea of the classes Copepoda and Cladocera. The increasing number of available SSU rRNA gene sequences of these microsporidia allows a more detailed interpretation of their developmental histories.",adipose; connective tissue cells,adipose; connective tissue cells,connective tissue cells; adipose,adipose; ribs; layer; connective tissue cells; spore surface; labyrinth,2,4,0
264,Larssonia hiberna,1,"Microsporidia of Branchiopods from the Northern regions of Ukraine ::: Four species of Microsporidia parasitizing Branchiopod hosts are described based on the light and ultrastructural data. Microsporidium sp. from the body cavity of Lepidurus apus, produced ovoid spores 3.5±0.4×2.2±0.3 μm in size. Mononuclear (asymmetrical spores of Larssonia hiberna sp. n., measured 3.8±0.1×2.0±0.2 μm, were found in fat tissues and hemocoel of Daphnia magna. Filamentous episporal surfacing inverted polaroplast and 8-9 coiled isofilar polar filament are characteristic features of this species. Berwaldia singularis Larsson and Microsporidium stagnalis sp. n. from D. pulex are presented. Ellipsoidal spores of M. stagnalis, 4.8±0.4×2.4±0.3 μm in sizes, formed a two-layered exospore, tripartite lamellar and tubular polaroplast, and the isofilar polar filament coiled in a two-layer spiral of 14 rings.",adipose tissue; hemocoel,adipose tissue; hemocoel,Adipose tissue; hemocoel,Mononuclear; Adipose tissue; hemocoel,2,1,0
265,Larssoniella duplicati,1,"Larssoniella duplicati n.sp. (Microsporidia, Unikaryonidae), a newly described pathogen infecting the double-spined spruce bark beetle, Ips duplicatus (Coleoptera, Scolytidae) in the Czech Republic ::: Larssoniella duplicati n.sp. infects the midgut muscularis, the Malpighian tubules, and the ovaries of adult Ips duplicatus (Sahlb.) in the Czech Republic. The microsporidian attacks up to 50% of the population. Oval spores of two sizes, 3–3.5×1.5–2 and 2–2.5×1.5 μm have the polar filament coiled in 6/7 coils, representing primary and environmental spores, respectively. In early sporogony the young spores produce long electron dense threads and tubules of secretions, which remain fixed around the spore and avoid their free release during dissection of infected hosts. The microsporidian was not found in associated bark beetles such as Ips typographus (L.), or I. amitinus (Eichh.) and others.",midgut; muscle; Malphigian; ovarian,midgut; muscle; Malphigian; ovarian,Malignant neoplasm of ovary; Malphigian; midgut; muscle,Malpighian tubules; bark; midgut; Larssoniella; Malignant neoplasm of ovary,2,3,2
266,Larssoniella resinellae,1,"A light and electron microscopic study of Larssoniella resinellae n. gen., n. sp. (Microspora, Unikaryonidae), a Parasite of Petrova resinella (Lepidoptera, Tortricidae) in Central Europe ::: Larssoniella n. gen. (Microspora, Unikaryonidae) is characterized by uninucleate stages with a tuft of tubules arising in the cuticle of sporoblasts and in the posterior pole of the young spore in its exospore. L resinellae n. sp., the type species, has sporoblasts and spores with distinct tubular tufts. Mature spores are smooth, tubular (4.5-5×1.7-2 urn), uninucleate, with polar filament in 10/11 coils. It infects the silk glands, Malpighian tubules, the fat body and gonads of larvae and adults of the Pine resin gall moth, Petrova resinella.",silk glands (primary infection site); Malpighian tubules; fat body; gonads (pupa and adult); egg,silk glands; Malpighian tubules; fat body; gonads; egg,Malpighian tubules; gonads; silk glands; egg; fat body,fat body; Malpighian tubules; Pine resin,2,1,3
268,Liebermannia patagonica,1,"Development, ultrastructure, natural occurrence, and molecular characterization of Liebermannia patagonica n. g., n. sp., a microsporidian parasite of the grasshopper Tristira magellanica (Orthoptera: Tristiridae) ::: A new microsporidium, Liebermannia patagonica n. gen., n. sp., is described from midgut and gastric caecum epithelial cells of Tristira magellanica, an apterous grasshopper species of southern Patagonia, Argentina. L. patagonica is diplokaryotic, apansporoblastic, homosporous, and polysporoblastic. Transitional (from merogony to sporogony) stages and sporonts of L. patagonica were surrounded by host rough endoplasmic reticulum. The ovocylindrical spores measured 2.9+/-0.09x1.2+/-0.04μm (fresh, n=50), and they had an isofilar polar filament of only three coils and a cluster of tubules instead of a classical posterior vacuole. Prevalence was high (up to 80.6%) at the type locality for the four years sampled. Maximum likelihood, neighbor joining, and maximum parsimony analyses of the small subunit rDNA all placed L. patagonica (Accession No. DQ 239917) in one clade with Orthosomella operophterae.",epithelium,epithelium,epithelium,gastric caecum epithelial cells; midgut,0,2,1
